main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
ALL,ALL,60,[크리넥스]3겹 데코앤소프트 와이드 35M24롤x1팩/프리미엄 /휴지,22050,22050,2
ALL,ALL,61,수맘 여름 신상입고 15%쿠폰 면 홈웨어 잠옷 세트,5900,5900,69
ALL,ALL,62,[롯데칠성]펩시콜라 제로 210ml x 30캔,12500,12500,26
ALL,ALL,63,[참도깨비]평양냉면 10인분 물냉면/냉면2kg+육수10봉,8900,8900,61
ALL,ALL,64,[닉스]닉스 성인아동 흄 반팔티 티셔츠 청바지 외 특가전,10000,10000,69
ALL,ALL,65,[유니맥스]스탠드 선풍기/가정용 업소용 14형 1407 특가,23640,23640,8
ALL,ALL,66,[모나리자]미용티슈 (280매3입)X4개 화장지 휴지,18900,18900,29
ALL,ALL,67,[순수식품]쏘팔메토 로르산 115 옥타코사놀  6개월분(180캡슐),26900,26900,53
ALL,ALL,68,풀빅산 샴푸 바바풀빅 탈모 샴푸+토닉세트 (강성식),55000,55000,0
ALL,ALL,69,[에잇세컨즈][에잇세컨즈] 블랙 슬릿 퍼프 소매 벨티드 원피스 (121471DYA5),35120,35120,11
ALL,ALL,70,[바다원]건오징어 5미,13400,13400,50
ALL,ALL,71,[아침농산]국산 찰흑미 500g x 3개 2020년산 햅쌀,6900,6900,8
ALL,ALL,72,[미즈노]푸마/미즈노 트레이닝 티셔츠 45종 택1,5900,5900,69
ALL,ALL,73,요즘에/썸머신상+15%/청바지/슬랙스/린넨/반바지/3XL~,9900,9900,70
ALL,ALL,74,[유니프랜드]유니프랜드/오가닉/무형광/유아내의/봄여름신상특가전,4900,4900,69
ALL,ALL,75,전국민15%쿠폰 여름NEW 빅사이즈/롱원피스/데님/4XL~,17400,17400,70
ALL,ALL,76,키즈 아동복 여름 신상 반팔 상하복세트 모음,4900,4900,69
ALL,ALL,77,[동원에프앤비]동원 인포켓 치즈 오리지널 (스트링치즈) x40개 + 증정,22500,22500,29
ALL,ALL,78,경기미 수향미 골드퀸3호 쌀 10kg 20년산,41900,41900,0
ALL,ALL,79,태송즉석새우볶음밥300gx10봉,13500,13500,54
ALL,ALL,80,맥심 아이스믹스110T +110T 총220T /커피믹스,29500,29500,50
ALL,ALL,81,[무로]세탁기입욕제 200g 4개 1박스:세탁조클리너,8900,8900,66
ALL,ALL,82,[Aura]아우라 섬유유연제 딜라이트 스윗만다린 1Lx3개+증정,12900,12900,50
ALL,ALL,83,[아트델리] [최신상 쿠션 + 목걸이패키지]  콜라겐핏 커버 쿠션 패키지,78900,78900,1
ALL,ALL,84,[대웅모닝컴](행사) 21년 신제품 대웅모닝컴 14인치 선풍기 고급형,24900,24900,0
ALL,ALL,85,베트남 노니 원액 주스 1000ml 6병(유통기한 임박),19710,19710,0
ALL,ALL,86,[프롬산타]3+1 봄 신상 면 덧신/양말/스타킹 남자여자발목학생,6900,6900,70
ALL,ALL,87,[카렉스]레인블레이드 듀오 하이브리드 와이퍼,9900,9900,10
ALL,ALL,88,[그리니]그리니 프리미엄 아기물티슈 블루 100매 X 20팩 캡형,14500,14500,50
ALL,ALL,89,아이스냉감~냉장고에서 갓 꺼낸듯한 반팔반바지세트,12900,12900,70
ALL,ALL,90,[배럴]메쉬 샤워 토트백 9L 블랙 (BF9USBG01BKON),24500,24500,2
ALL,ALL,91,3+1 명품향을 담은 향수득템G,11900,11900,69
ALL,ALL,92,[크리넥스]안심 키친타올 120매 4롤 8팩/휴지,25900,25900,24
ALL,ALL,93,[쪽빛누리]비정제원당 설탕대신 원당 10kg 효소 과일청 매실,13900,13900,55
ALL,ALL,94,[오양]치킨너겟 간편한 간식 안주 1kg+1kg 총2kg 특가,9900,9900,55
ALL,ALL,95,[또래친구]주니걸즈 인기 아이템 상하복/원피스/반바지 GIRLS,6900,6900,70
ALL,ALL,96,정식품 심천수 샘물 2LX12개 신제품 생수 행사,5900,5900,50
ALL,ALL,97,루즈델리 썸머15%쿠폰 빅사이즈 롱원피스/투피스 여름,11900,11900,69
ALL,ALL,98,[스팸]스팸 클래식 200g 10개,21510,21510,10
ALL,ALL,99,[아토세이프]15% 할인 습기제거제 520ml 24개입 옷장 선반 제습제,15900,15900,27
ALL,ALL,100,M~4XL여름 남여 쿨론티/면 반팔/기능성/긴팔/빅사이즈,6900,6900,70
ALL,ALL,101,[스카이](1+1) 넥밴드 목걸이 선풍기 윈드300 (화이트+네이비),24630,24630,1
ALL,ALL,102,[햇반]햇반 매일잡곡밥 210g 24개 유통기한 2022.01.02,26910,26910,10
ALL,ALL,103,[아토세이프]15% 할인 고농축 라벤더 세제 2.5L X 4개 총 10000ml,7900,7900,27
ALL,ALL,104,[대우]대우 에어 써큘레이터DEF-KC1020스탠드선풍기 공기순환,34900,34900,0
ALL,ALL,105,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드,28500,28500,5
ALL,ALL,106,[리큐]액체세탁세제 리큐 일반 2.1Lx6개/쿠폰가16900원,19900,19900,50
ALL,ALL,107,[세타필]세타필 대용량1+1(로션 473ml+로션 473ml) +사은품3종,22900,22900,41
ALL,ALL,108,키즈프렌즈 초등교과 어휘왕 가로세로 낱말 (전3권),27700,27700,10
ALL,ALL,109,[하비비]청개구리 자동 싱크대 클리너 세정제 3개,17800,17800,66
ALL,ALL,110,[니]NII 남녀 여름티셔츠외50종+누구나17%추가할인,9900,9900,70
ALL,ALL,111,[바른]바른 곡물효소 발효효소 식이섬유 유산균 2+1 총3박스,29900,29900,0
ALL,ALL,112,[Gfresh]연안식당 촉촉하게 구워나온 고등어 80g x 10팩,25900,25900,40
ALL,ALL,113,[르젠]르젠 선풍기 LZEF-DC130 화이트,65690,65690,1
ALL,ALL,114,선택2_2박스 구성  청송_당도선별/大사이즈  하이크,44910,44910,0
ALL,ALL,115,(모바일)한밀푸드 명가토종순대국 9팩 상품기획구성,27600,27600,7
ALL,ALL,116,[아디다스](신세계마산점)[SPORTSWEAR]아디다스 반바지/반팔티셔츠 택1 (GK9988 FT2878 FT2879 FT2877 FT2884 GP09...,23300,23300,22
ALL,ALL,117,(1+1) 얼음주머니 다용도 찜질팩 냉온 핫팩 아이스팩,5900,5900,39
ALL,ALL,118,[지오다노]지오다노 린넨 셔츠/여름니트/이지팬츠 外~75%OFF,23000,23000,69
ALL,ALL,119,티탁 여름신상 데일리 세트/원피스/롱티셔츠/빅사이즈,6900,6900,70
